Analyzing image "Kiosk Demo Disc Version 1.21 [SCUS-94696].cue"...
     LBN   NumSec     Size T Path
0002447f 00000010 00007a3b f SL2/BSEND/SCREEN10.RS
0002448f 00000034 00019f41 f SL2/BSEND/SCREEN11.RS
000244c3 0000000d 0000610c f SL2/BSEND/SCREEN12.RS
000244d0 00000001 00000800 d SL2/MOVIES
000244d1 00000707 00401fe0 x SL2/MOVIES/MGN_15A.STR
00024bd8 000028b0 01734600 x SL2/SL_MUSE.STR
00027488 00000001 00000800 d CRASHBSH
00027489 000000b4 0005a000 f CRASHBSH/CRASHBSH.EXE
0002753d 00004ec7 02763800 f CRASHBSH/CRASHBSH.DAT
0002c404 00000001 00000800 d MOVIES
0002c405 00001408 00b6c900 x MOVIES/LILO.STR
0002d80d 000011e0 00a31c00 x MOVIES/TIGER.STR
0002e9ed 0000012c 00096000 f MOVIES/ENDCAP.STR
0002eb19 00004000 02000000 f DUMMY.FIL
