Analyzing image "(PSX) Official UK PlayStation Magazine Euro Demo 82 (SCED-03785).cue"...
     LBN   NumSec     Size T Path
0000bcb3 00000002 0000099c f TC/DATA/WAD/ENEMROPE.WAD
0000bcb5 000000da 0006c8fc f TC/DATA/WAD/ENEMY.WAD
0000bd8f 000000fa 0007cb64 f TC/DATA/WAD/ENEMY1.WAD
0000be89 000000f2 00078858 f TC/DATA/WAD/ENEMY3.WAD
0000bf7b 00000007 00003510 f TC/DATA/WAD/GRENADER.WAD
0000bf82 00000009 00004768 f TC/DATA/WAD/MGGUARD.WAD
0000bf8b 00000002 0000099c f TC/DATA/WAD/ROPE.WAD
0000bf8d 00000009 00004368 f TC/DATA/WAD/SHGUARD.WAD
0000bf96 00000008 00003b2c f TC/DATA/WAD/SKY.WAD
0000bf9e 00000008 00003830 f TC/DATA/WAD/WEAPONS.WAD
0000bfa6 00000003 00001130 f TC/DATA/WAD/WINDOW.WAD
0000bfa9 00000003 000017ec f TC/DATA/WAD/WINDOW0.WAD
0000bfac 00000004 00001eec f TC/DATA/WAD/WINDOW01.WAD
0000bfb0 00000004 00001968 f TC/DATA/WAD/WINDOW02.WAD
0000bfb4 00000004 00001918 f TC/DATA/WAD/WINDOW1.WAD
0000bfb8 00000003 00001800 f TC/DATA/WAD/WINDOW1B.WAD
0000bfbb 00000003 0000162c f TC/DATA/WAD/WINDOW2.WAD
0000bfbe 0000000a 00004b88 f TC/DATA/WAD/WSAILOR.WAD
0000bfc8 00000001 00000800 d TC/DATA/WADL
0000bfc9 00000013 00009228 f TC/DATA/WADL/L1A1BGC.WAD
0000bfdc 000000aa 00054c00 f TC/DATA/WADL/L1A1ENEM.WAD
0000c086 0000001d 0000e78c f TC/DATA/WADL/L1A1MISC.WAD
0000c0a3 0000002f 000174dc f TC/DATA/WADL/L1LEAD.WAD
0000c0d2 00000058 0002bbfc f TC/DATA/WADL/L1OPEN.WAD
0000c12a 00000008 00003ca8 f TC/DATA/WADL/L1OPOBJ.WAD
0000c132 00000078 0003b9f8 f TC/DATA/WADL/L1_OPEN.WAD
0000c1aa 00000001 00000800 d TC/DATA/TWAL
0000c1ab 0000000d 000065ec f TC/DATA/TWAL/L1A1.TWA
0000c1b8 00000012 00008c00 f TC/DATA/TWAL/L1_LEAD.TWA
